r1WoJxmgG	HJT8c1mgM	r1WEkhzgz	rJ6QhWmlG	HktHigXgM	B1DA5bQez	By7oz84xG	HJuXr3Mlz	Hy0Q7lXgz	rJ8BPeQxG	HJ5nUZQxz	BJdHbjzef	SkWJSeQlf	SJlJLiMlz	Hyw5N1mgM	Skx5Zl7gM	SySxTyXgz	BJpmFx7xG
1	1	1	2	2	2	3	2	2	1	3	1	8	1	3	1	2	4
6	6	4	12	7	5	11	6	5	5	23	1	14	3	11	3	14	23
21	8	6	26	12	7	21	10	8	10	42	3	20	3	20	7	36	53
39	13	8	40	19	10	36	15	9	18	61	6	29	2	28	18	53	75
51	15	12	49	26	12	44	21	11	31	75	12	35	0	31	34	63	89
60	17	15	52	31	15	52	25	13	41	89	18	44	0	33	52	69	99
64	19	18	54	38	16	58	25	20	50	85	26	49	0	36	66	72	80
68	18	21	53	48	18	67	28	28	62	54	33	53	0	36	72	72	15
70	19	23	53	57	20	72	34	38	74	14	37	57	0	37	78	71
68	20	24	51	66	23	80	38	47	89	0	39	51	2	37	79	69
69	25	24	55	74	27	87	39	61	102	0	36	39	3	37	77	59
69	30	24	56	87	32	91	42	65	111	0	38	35	6	36	74	26
68	36	24	59	100	34	101	46	60	119	0	39	29	50	36	71
52	45	24	65	111	38	110	53	63	126	1	39	24	101	34	55
25	49	23	64	117	43	108	49	57	127	15	36	19	82	35	19
14	53	24	65	117	50	112	42	66	124	31	38	16	18	32
8	55	26	67	112	57	118	38	65	104	44	39	14	16	31
6	60	26	67	96	70	120	31	52	94	58	39	16	35	23
2	58	26	65	85	83	121	29	48	77	66	40	19	98	9
1	55	28	67	77	93	116	30	47	64	72	39	22	127	5
1	49	27	66	63	97	111	27	45	42	78	40	25	111
1	47	29	67	58	108	101	26	32	14	84	40	20	37
3	46	28	60	55	110	88	19	16	6	80	23
5	42	29	61	51	108	80	13	10	3	25
9	27	29	62	47	117	59	6	4
11	26	30	60	42	103	39	2	0
14	23	29	63	39	67	17
19	25	29	63	36	21	7
22	25	30	62	31	7	2
27	23	32	61	20	0
33	16	32	61	6
44	13	32	57	2
48	12	32	61
54	15	32	59
59	19	32	64
63	27	32	61
67	32	32	31
68	35	32
69	42	33
69	47	33
70	53	33
69	61	32
70	63	31
70	58	31
69	61	24
68	67	15
67	58	6
64	61
50	51
33	44
12	28
6	17
1	12
0	13
0	12
0	13
0	14
0	17
0	22
0	29
0	31
0	38
5	42
14	50
26	60
35	64
42	66
47	66
51	67
54	68
56	61
59	57
61	43
61	28
61	7
61
65
65
63
58
50
30
7
0

